run_accession	genome_size
DRR021778	4487311
DRR021785	4507063
DRR033768	5137051
DRR033769	5161870
DRR033770	5341955
DRR033771	5123022
DRR033772	5208449
DRR033773	5120326
DRR033774	5086760
DRR033775	5082880
DRR033776	5084439
DRR033777	5194894
DRR033778	5330852
DRR033779	5195641
DRR033780	5086508
DRR033781	4772431
DRR033782	5009899
DRR033783	5104296
DRR033784	5281995
DRR033785	5117598
DRR033787	5098257
DRR033788	5372125
DRR033789	5081055
DRR033790	5080186
DRR033791	5229444
DRR033869	5093332
DRR033870	5325494
DRR033874	5161313
DRR033879	5309719
DRR033880	5310925
DRR033881	5311165
DRR033882	5275432
DRR033883	5328868
DRR033884	5289931
DRR033885	5217425
DRR033886	5287695
DRR033887	5386409
DRR033888	5421013
DRR033889	5055339
DRR033890	5105368
DRR033891	5085720
DRR033892	5207041
DRR033893	5206126
DRR033894	5276397
DRR033895	5339087
DRR033896	5284775
DRR033897	5300906
DRR033898	5381855
DRR033899	5364792
DRR033900	5364692
DRR033901	5356902
DRR033902	5251185
DRR033903	5143638
DRR033904	5226251
DRR033905	5370599
DRR033907	5249806
DRR033908	5279640
DRR033909	5349534
DRR033910	5325897
DRR033911	5228979
DRR033912	5211347
DRR033913	5189876
DRR033914	5257151
DRR033915	5359592
DRR033916	5336189
DRR033917	5281690
DRR033918	5241568
DRR033919	5292109
DRR033920	5273756
DRR033921	5438964
DRR033922	5273380
DRR033923	5275464
DRR033924	5308939
DRR033925	5311881
DRR033926	5537632
DRR033927	5159086
DRR033928	4989069
DRR033929	5039077
DRR033930	5177556
DRR033931	5363432
DRR033934	5314359
DRR037715	4936426
DRR037716	5194482
DRR037717	5308411
DRR037719	5379895
DRR037720	5251759
DRR037721	5318337
DRR037723	5187965
DRR037724	5272117
DRR037725	5309766
DRR037726	5339761
DRR037728	5270083
DRR037729	5340639
DRR037730	5366096
DRR037734	5371357
DRR037735	5321711
DRR037736	5292756
DRR037737	5464594
DRR037738	5397899
DRR037739	5299258
DRR037741	5479915
DRR037742	5280973
DRR037744	5357485
DRR037745	5347889
DRR037746	5489434
DRR037749	5303578
DRR037753	5425626
DRR037756	5278523
DRR051009	5248443
DRR051019	5104883
DRR051020	5096067
DRR051037	5328939
DRR051038	5202236
DRR051039	5122870
DRR051040	5289439
DRR051041	5192131
DRR051044	5280723
DRR051046	5107245
DRR057886	5341634
DRR057887	5346258
DRR057909	5361212
DRR061424	5095897
DRR061430	5172963
DRR061431	5022428
DRR061432	5233544
DRR061434	5128471
DRR061435	5124062
DRR061436	5344378
DRR061437	5273144
DRR061439	5227405
DRR061441	5082035
DRR061442	5378936
DRR061443	5165400
DRR061444	5167807
DRR061445	4633505
DRR061446	5209945
DRR061447	5264269
DRR061448	5112226
DRR061449	5204578
DRR061450	5198191
DRR061451	4938937
DRR061453	5360706
DRR061454	5349995
DRR061455	5317761
DRR061457	5055747
DRR061460	5143155
DRR061461	5142928
DRR061462	5158595
DRR061464	4874277
DRR061465	5334062
DRR061466	5240818
DRR061468	5222627
DRR061469	5207896
DRR061470	5282182
DRR061471	4829230
DRR061472	5250918
DRR061473	5238043
DRR061475	5144550
DRR061476	4938855
DRR061477	5140705
DRR061479	5024462
DRR061481	5192045
DRR061482	5216818
DRR061483	5220233
DRR061493	5177610
DRR063328	5127514
DRR063329	4995412
DRR063332	5072110
DRR063357	5048567
DRR065622	5326494
DRR140910	5458488
DRR140911	4938868
DRR140912	5409929
DRR140913	4973600
DRR140915	5458063
DRR140916	5430115
DRR075609	5350284
DRR075610	5541859
DRR075611	5189897
DRR075613	5303033
DRR075615	5128786
DRR075616	5508316
DRR075618	5206234
DRR075620	5095789
DRR075621	5174879
DRR075622	5357799
DRR075623	4955867
DRR075624	5785291
DRR075625	5100688
DRR075627	5310443
DRR075635	4968464
DRR075637	5318930
DRR075638	5538679
DRR075639	5514644
DRR075640	5186865
DRR075641	5650498
DRR075642	5556909
DRR075643	5401562
DRR075644	5301471
DRR076852	5276700
DRR076856	5412708
DRR076858	5439548
DRR076876	5299016
DRR076897	5408338
DRR076941	5299903
DRR077338	5266143
DRR077339	5234251
DRR077340	5240486
DRR077341	5252239
DRR077342	5251772
DRR077343	5339322
DRR077344	5319534
DRR077345	5374469
DRR077346	5306221
DRR077347	5240682
DRR077353	5299927
DRR077367	5300445
DRR077375	5292115
DRR077376	5292439
DRR077377	5217297
DRR077378	5193173
DRR077379	5238128
DRR082430	5321339
DRR103392	5460358
DRR103394	5307103
DRR103396	5571183
DRR103397	5505308
DRR103399	5481789
DRR103400	5709511
DRR103402	5608200
DRR103403	5640098
DRR103405	5519133
DRR103410	5273718
DRR103412	5457400
DRR103413	5296913
DRR103458	5618365
DRR103460	5407902
DRR103462	5407774
DRR103464	5440427
DRR103465	5517355
DRR103466	5497150
DRR103479	5573593
DRR103480	5428249
DRR103483	5660010
DRR103484	5565924
DRR103645	5552503
DRR103663	5560033
DRR103673	5479075
DRR103677	5421755
DRR103689	5398532
DRR103690	5516742
DRR103720	5462950
DRR103722	5641599
DRR103723	5772050
DRR089012	5291481
DRR089013	4816494
DRR089014	4944700
DRR089015	5423097
DRR089016	5225402
DRR089017	5248320
DRR089018	5089458
DRR089019	5177473
DRR089020	4912384
DRR089021	4902019
DRR089022	5116515
DRR089023	4867362
DRR089024	5275713
DRR089025	5060529
DRR089026	4941304
DRR089027	5125867
DRR089028	4978785
DRR089029	5136562
DRR089030	5184985
DRR089031	5011717
DRR089032	4986262
DRR089033	4941983
DRR089034	4630160
DRR089035	5024728
DRR089036	5245886
DRR089037	5064544
DRR089038	5022154
DRR089039	4676308
DRR089040	5120911
DRR089041	5106482
DRR089042	5429740
DRR089043	5141179
DRR089044	5290762
DRR089045	5074424
DRR089046	5144441
DRR089047	5159641
DRR089049	5056370
DRR089057	4998761
DRR102536	4845738
DRR102538	4919986
DRR102539	5146015
DRR102540	4666879
DRR102541	5181257
DRR102543	4860544
DRR102544	5040141
DRR102546	4730972
DRR102547	5079039
DRR102548	5222824
DRR102551	4763028
DRR102553	4820305
DRR102554	5030410
DRR102555	4774602
DRR102556	4762292
DRR102557	4709040
DRR102558	5186172
DRR102559	4747828
DRR102560	4907237
DRR102561	5255812
DRR102562	4829506
DRR102563	5234870
DRR102564	5040733
DRR102565	5141944
DRR102566	4976967
DRR102567	5166655
DRR102568	5316593
DRR102574	4989701
DRR102575	5129744
DRR102576	5237102
DRR102577	5209713
DRR102581	5001307
DRR102585	5090358
DRR102586	4922236
DRR102589	5067314
DRR102590	5129916
DRR102603	5042816
DRR102608	4618332
DRR102609	4817545
DRR102610	5076213
DRR102614	4765041
DRR102615	5161317
DRR102618	4744556
DRR102632	4810099
DRR102642	4631799
DRR102655	4859945
DRR102679	4659815
DRR102680	5216539
DRR102681	4991217
DRR102682	5106336
DRR102683	4895677
DRR102685	4959347
DRR102686	4857568
DRR102687	4952158
DRR102689	4941052
DRR102690	5115572
DRR102691	4976341
DRR102694	5042141
DRR102696	4937741
DRR102701	5346668
DRR102702	4611136
DRR102710	4913561
DRR102711	4886020
DRR102734	4906075
DRR102751	4702478
DRR102768	5052940
DRR102770	5065930
DRR102776	5063154
DRR102777	4928208
DRR102778	4961510
DRR102792	4925756
DRR102793	4964039
DRR102796	4930379
DRR102798	4984166
DRR102803	4806167
DRR102807	4891077
DRR103018	5112713
DRR103021	5164340
DRR103022	4677432
DRR103023	4944092
DRR103024	5041829
DRR103025	5303763
DRR103026	5268361
DRR103027	5175322
DRR103028	5101449
DRR103029	4892531
DRR103030	4960789
DRR103031	4952581
DRR103032	5070798
DRR103033	4951066
DRR103034	5030856
DRR103035	4761875
DRR103036	4838414
DRR103037	4884099
DRR103038	5111033
DRR103039	4786057
DRR103042	5056297
DRR103043	4977771
DRR103045	5181690
DRR103046	4964860
DRR103047	4999185
DRR103048	4937030
DRR103049	5018537
DRR103050	4840398
DRR103051	4892557
DRR103053	5298858
DRR103054	5153587
DRR103056	5150968
DRR103064	5440263
DRR103066	5097643
DRR103068	5377919
DRR103070	5099364
DRR103074	5289822
DRR103075	5270713
DRR103081	5397589
DRR103083	4981385
DRR103085	5077006
DRR103100	5355116
DRR103103	5303682
